City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tiksi,71.6872,128.8694,267.37,80,25,0.75,RU,1682639691
84,inarajan village,13.2736,144.7484,303.03,84,17,9.05,GU,1682639887
85,bontang,0.1333,117.5,299.84,83,100,2.88,ID,1682639958
86,banjarmasin,-3.3244,114.591,299.31,88,84,1.39,ID,1682639958
87,chibougamau,49.9168,-74.3659,279.94,49,100,2.06,CA,1682639958
88,luderitz,-26.6481,15.1594,288.57,65,10,4.44,,1682639959
89,utrik,11.2278,169.8474,299.97,83,68,9.05,MH,1682639959
90,brandon,27.9378,-82.2859,301.64,70,0,5.14,US,1682639959
91,pisco,-13.7,-76.2167,295.18,83,0,7.72,PE,1682639835
92,mahina,-17.5065,-149.489,303.02,74,75,3.6,PF,1682639960
93,neiafu,-18.65,-173.9833,301.53,78,40,6.69,TO,1682639960
94,asau,46.4333,26.4,275.66,81,22,2.61,RO,1682639961
95,vila franca do campo,37.7167,-25.4333,290.38,90,100,5.68,PT,1682639962
96,waddan,29.1614,16.139,293.27,41,0,2.56,LY,1682639962
97,ust'-kulom,61.6864,53.6902,269.38,91,58,2.83,RU,1682639962
98,saint-philippe,-21.3585,55.7679,294.92,79,49,4.53,RE,1682639733
99,coquimbo,-29.9533,-71.3436,288.0,82,75,3.09,CL,1682639759
100,udachny,66.4167,112.4,270.07,73,77,2.18,RU,1682639963
101,ushuaia,-54.8,-68.3,276.96,81,40,8.75,AR,1682639582
102,port saint john's,-31.6229,29.5448,294.14,87,60,3.1,ZA,1682639964
103,atafu village,-8.5421,-172.5159,302.1,72,64,7.34,TK,1682639899
104,lorengau,-2.0226,147.2712,301.64,78,73,1.01,PG,1682639964
105,sotkamo,64.1333,28.4167,278.16,96,100,4.74,FI,1682639964
106,roma,43.2128,-75.4557,288.23,29,0,1.54,US,1682639906
107,ribeira grande,38.5167,-28.7,289.69,86,12,7.15,PT,1682639911
108,lusambo,-4.9667,23.45,294.77,93,67,1.02,CD,1682639961
109,hithadhoo,-0.6,73.0833,301.67,76,100,4.02,MV,1682639852
110,constantia,44.1833,28.65,277.53,62,81,7.76,RO,1682639965
111,papatowai,-46.5619,169.4708,284.05,72,13,1.44,NZ,1682639870
112,bengkulu,-3.8004,102.2655,297.64,93,98,2.36,ID,1682639936
113,barra de santo antonio,-9.4047,-35.5072,298.75,87,79,2.64,BR,1682639966
114,buka,40.8108,69.1986,290.42,44,20,1.24,UZ,1682639966
115,ejea de los caballeros,42.1263,-1.1372,292.27,42,84,3.03,ES,1682639967
116,harper,4.375,-7.7169,300.28,82,50,2.9,LR,1682639761
117,meizhou,24.2977,116.1072,296.18,73,9,1.1,CN,1682639967
118,sierra grande,-41.606,-65.3557,287.53,44,54,0.89,AR,1682639968
